source,target,source_category,target_category
Sensoincomum.org,Revistaoeste.com,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Tecmundo.com.br,Opinion journalism right,Center
Sensoincomum.org,Globo.com,Opinion journalism right,Hyper center media
Sensoincomum.org,Metropoles.com,Opinion journalism right,Hyper center media
Sensoincomum.org,Poder360.com.br,Opinion journalism right,Center
Sensoincomum.org,Oantagonista.com,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Gazetadopovo.com.br,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Brasil247.com,Opinion journalism right,Opinion journalism left
Sensoincomum.org,Revistaforum.com.br,Opinion journalism right,Opinion journalism left
Sensoincomum.org,Diariodorio.com,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Brasilparalelo.com.br,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Diariodopoder.com.br,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Ilisp.org,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Institutoliberal.org.br,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Jornaldacidadeonline.com.br,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Gospelmais.com.br,Opinion journalism right,Opinion journalism right
Sensoincomum.org,Bahianoticias.com.br,Opinion journalism right,Regional/Local media outlets
Sensoincomum.org,folha.Uol.com.br,Opinion journalism right,Hyper center media
Sensoincomum.org,Uol.com.br,Opinion journalism right,Hyper center media
Crusoe.com.br,Oantagonista.com,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,veja.Abril.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,R7.com,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Istoe.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Abril.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Istoedinheiro.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Correiobraziliense.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Em.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Tecmundo.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Ebc.com.br,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Exame.com,Opinion journalism right,Center
Terracoeconomico.com.br,Globo.com,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Camara.leg.br,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Senado.leg.br,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Olhardigital.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Techtudo.com.br,Opinion journalism right,Regional/Local media outlets
Terracoeconomico.com.br,Terra.com.br,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Jota.info,Opinion journalism right,Center
Terracoeconomico.com.br,Poder360.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Valor.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Oantagonista.com,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Ig.com.br,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Nexojornal.com.br,Opinion journalism right,Specific progressive themes
Terracoeconomico.com.br,Gazetadopovo.com.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Braziljournal.com,Opinion journalism right,Center
Terracoeconomico.com.br,Institutomillenium.org.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Migalhas.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Brasil247.com,Opinion journalism right,Opinion journalism left
Terracoeconomico.com.br,Mpf.mp.br,Opinion journalism right,Center
Terracoeconomico.com.br,Opovo.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,diariooficial,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Cartacapital.com.br,Opinion journalism right,Opinion journalism left
Terracoeconomico.com.br,Diariodepernambuco.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Infomoney.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Jornaldocomercio.com,Opinion journalism right,Center
Terracoeconomico.com.br,Gazetaonline.com.br,Opinion journalism right,Regional/Local media outlets
Terracoeconomico.com.br,Otempo.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Diariodocomercio.com.br,Opinion journalism right,Regional/Local media outlets
Terracoeconomico.com.br,Brasildefato.com.br,Opinion journalism right,Opinion journalism left
Terracoeconomico.com.br,Boletimdaliberdade.com.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Conexaopolitica.com.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Ilisp.org,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Mises.org.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Institutoliberal.org.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Catracalivre.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,Noticiasagricolas.com.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Pragmatismopolitico.com.br,Opinion journalism right,Opinion journalism left
Terracoeconomico.com.br,Gazetadigital.com.br,Opinion journalism right,Regional/Local media outlets
Terracoeconomico.com.br,Monitormercantil.com.br,Opinion journalism right,Opinion journalism left
Terracoeconomico.com.br,Gospelprime.com.br,Opinion journalism right,Opinion journalism right
Terracoeconomico.com.br,Yahoo.com.br,Opinion journalism right,Center
Terracoeconomico.com.br,folha.Uol.com.br,Opinion journalism right,Hyper center media
Terracoeconomico.com.br,Uol.com.br,Opinion journalism right,Hyper center media
Rac.com.br,Ebc.com.br,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,veja.Abril.com.br,Opinion journalism right,Center
Noticiasagricolas.com.br,Cnnbrasil.com.br,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,R7.com,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,Istoe.com.br,Opinion journalism right,Center
Noticiasagricolas.com.br,Correiobraziliense.com.br,Opinion journalism right,Center
Noticiasagricolas.com.br,Revistaoeste.com,Opinion journalism right,Opinion journalism right
Noticiasagricolas.com.br,Ebc.com.br,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,Globo.com,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,Camara.leg.br,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,Senado.leg.br,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,Aosfatos.org,Opinion journalism right,Specific progressive themes
Noticiasagricolas.com.br,Jovempan.com.br,Opinion journalism right,Center
Noticiasagricolas.com.br,Poder360.com.br,Opinion journalism right,Center
Noticiasagricolas.com.br,Oantagonista.com,Opinion journalism right,Opinion journalism right
Noticiasagricolas.com.br,Gazetadopovo.com.br,Opinion journalism right,Opinion journalism right
Noticiasagricolas.com.br,Institutoliberal.org.br,Opinion journalism right,Opinion journalism right
Noticiasagricolas.com.br,Puggina.org,Opinion journalism right,Opinion journalism right
Noticiasagricolas.com.br,Crusoe.com.br,Opinion journalism right,Opinion journalism right
Noticiasagricolas.com.br,Inpe.br,Opinion journalism right,Center
Noticiasagricolas.com.br,folha.Uol.com.br,Opinion journalism right,Hyper center media
Noticiasagricolas.com.br,Uol.com.br,Opinion journalism right,Hyper center media
Bemparana.com.br,Cnnbrasil.com.br,Center,Hyper center media
Bemparana.com.br,Ebc.com.br,Center,Hyper center media
Bemparana.com.br,Exame.com,Center,Center
Bemparana.com.br,Globo.com,Center,Hyper center media
Bemparana.com.br,Nsctotal.com.br,Center,Center
Bemparana.com.br,Idec.org.br,Center,Specific progressive themes
Bemparana.com.br,Uol.com.br,Center,Hyper center media
Correio24Horas.com.br,Ebc.com.br,Center,Hyper center media
Correio24Horas.com.br,Globo.com,Center,Hyper center media
Correio24Horas.com.br,Nexojornal.com.br,Center,Specific progressive themes
Correio24Horas.com.br,Fab.mil.br,Center,Regional/Local media outlets
Correio24Horas.com.br,Marinha.mil.br,Center,Hyper center media
Correio24Horas.com.br,Aer.mil.br,Center,Center
Outraspalavras.net,veja.Abril.com.br,Opinion journalism left,Center
Outraspalavras.net,Cnnbrasil.com.br,Opinion journalism left,Hyper center media
Outraspalavras.net,R7.com,Opinion journalism left,Hyper center media
Outraspalavras.net,Istoe.com.br,Opinion journalism left,Center
Outraspalavras.net,Abril.com.br,Opinion journalism left,Center
Outraspalavras.net,Istoedinheiro.com.br,Opinion journalism left,Center
Outraspalavras.net,Correiobraziliense.com.br,Opinion journalism left,Center
Outraspalavras.net,Forumseguranca.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Tecmundo.com.br,Opinion journalism left,Center
Outraspalavras.net,Ebc.com.br,Opinion journalism left,Hyper center media
Outraspalavras.net,Itaucultural.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Exame.com,Opinion journalism left,Center
Outraspalavras.net,Globo.com,Opinion journalism left,Hyper center media
Outraspalavras.net,Camara.leg.br,Opinion journalism left,Hyper center media
Outraspalavras.net,Senado.leg.br,Opinion journalism left,Hyper center media
Outraspalavras.net,Terra.com.br,Opinion journalism left,Hyper center media
Outraspalavras.net,Metropoles.com,Opinion journalism left,Hyper center media
Outraspalavras.net,Jb.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Poder360.com.br,Opinion journalism left,Center
Outraspalavras.net,Dci.com.br,Opinion journalism left,Opinion journalism right
Outraspalavras.net,Valor.com.br,Opinion journalism left,Center
Outraspalavras.net,Ig.com.br,Opinion journalism left,Hyper center media
Outraspalavras.net,Nexojornal.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Ponte.org,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Redebrasilatual.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Jornalggn.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Brasil247.com,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Mpf.mp.br,Opinion journalism left,Center
Outraspalavras.net,Almapreta.com,Opinion journalism left,Specific progressive themes
Outraspalavras.net,diariooficial,Opinion journalism left,Hyper center media
Outraspalavras.net,Cartacapital.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Revistaforum.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Apublica.org,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Infomoney.com.br,Opinion journalism left,Center
Outraspalavras.net,Idec.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Brasildefato.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Oeco.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Inpe.br,Opinion journalism left,Center
Outraspalavras.net,Cartamaior.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Ecodebate.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Reporterbrasil.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Amazoniareal.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Conexaoplaneta.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Geledes.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Jornalistaslivres.org,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Ojoioeotrigo.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Sul21.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Aspta.org.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Deolhonosruralistas.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Observatoriodamineracao.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Amazonasatual.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Fiquemsabendo.com.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Monitordooriente.com,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Nucleo.jor.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Rendabasica.org.br,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Bemblogado.com.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Yahoo.com.br,Opinion journalism left,Center
Outraspalavras.net,Theintercept.com /brasil,Opinion journalism left,Specific progressive themes
Outraspalavras.net,Dowbor.org,Opinion journalism left,Opinion journalism left
Outraspalavras.net,Mpl.org.br,Opinion journalism left,Opinion journalism left
Outraspalavras.net,folha.Uol.com.br,Opinion journalism left,Hyper center media
Outraspalavras.net,Uol.com.br,Opinion journalism left,Hyper center media
Jornaldacidadeonline.com.br,veja.Abril.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Cnnbrasil.com.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,R7.com,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Istoe.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Abril.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Tecmundo.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Ebc.com.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Exame.com,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Globo.com,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Camara.leg.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Senado.leg.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Olhardigital.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Terra.com.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Metropoles.com,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Jovempan.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,noticias.Yahoo.com,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Dci.com.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Oantagonista.com,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Ig.com.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Nexojornal.com.br,Opinion journalism right,Specific progressive themes
Jornaldacidadeonline.com.br,Nsctotal.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Gazetadopovo.com.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Migalhas.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Cartacapital.com.br,Opinion journalism right,Opinion journalism left
Jornaldacidadeonline.com.br,Apublica.org,Opinion journalism right,Specific progressive themes
Jornaldacidadeonline.com.br,Infomoney.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Otempo.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Conexaopolitica.com.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Ilisp.org,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Mises.org.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Institutoliberal.org.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Catracalivre.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Puggina.org,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Estudosnacionais.com,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Campograndenews.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Noticiasagricolas.com.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,Jornalopcao.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Geledes.org.br,Opinion journalism right,Specific progressive themes
Jornaldacidadeonline.com.br,Ciclovivo.com.br,Opinion journalism right,Center
Jornaldacidadeonline.com.br,Itatiaia.com.br,Opinion journalism right,Regional/Local media outlets
Jornaldacidadeonline.com.br,Impactopr.com.br,Opinion journalism right,Opinion journalism right
Jornaldacidadeonline.com.br,folha.Uol.com.br,Opinion journalism right,Hyper center media
Jornaldacidadeonline.com.br,Uol.com.br,Opinion journalism right,Hyper center media
Ndmais.com.br,veja.Abril.com.br,Center,Center
Ndmais.com.br,R7.com,Center,Hyper center media
Ndmais.com.br,Abril.com.br,Center,Center
Ndmais.com.br,Ebc.com.br,Center,Hyper center media
Ndmais.com.br,Itaucultural.org.br,Center,Specific progressive themes
Ndmais.com.br,Globo.com,Center,Hyper center media
Ndmais.com.br,Camara.leg.br,Center,Hyper center media
Ndmais.com.br,Senado.leg.br,Center,Hyper center media
Ndmais.com.br,Olhardigital.com.br,Center,Center
Ndmais.com.br,Metropoles.com,Center,Hyper center media
Ndmais.com.br,Nsctotal.com.br,Center,Center
Ndmais.com.br,Verdesmares.com.br,Center,Center
Ndmais.com.br,Mpf.mp.br,Center,Center
Ndmais.com.br,Marinha.mil.br,Center,Hyper center media
Ndmais.com.br,Idec.org.br,Center,Specific progressive themes
Ndmais.com.br,Rondoniaovivo.com,Center,Regional/Local media outlets
Ndmais.com.br,Www.gov.br /.../noticias,Center,Center
Ndmais.com.br,folha.Uol.com.br,Center,Hyper center media
Ndmais.com.br,Uol.com.br,Center,Hyper center media
Oeco.com.br,Oeco.org.br,Center,Specific progressive themes
Portalodia.com,Terra.com.br,Center,Hyper center media
Portalodia.com,Www.gov.br /.../noticias,Center,Center
Vozdascomunidades.com.br,Globo.com,Specific progressive themes,Hyper center media
Vozdascomunidades.com.br,folha.Uol.com.br,Specific progressive themes,Hyper center media
Perfil.com,Ebc.com.br,Center,Hyper center media
Perfil.com,Globo.com,Center,Hyper center media
Perfil.com,Uol.com.br,Center,Hyper center media
Cartacampinas.com.br,Globo.com,Opinion journalism left,Hyper center media
Cartacampinas.com.br,Camara.leg.br,Opinion journalism left,Hyper center media
Cartacampinas.com.br,Diariodocentrodomundo.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Terra.com.br,Opinion journalism left,Hyper center media
Cartacampinas.com.br,noticias.Yahoo.com,Opinion journalism left,Center
Cartacampinas.com.br,Redebrasilatual.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Jornalggn.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Brasil247.com,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Cartacapital.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Revistaforum.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Brasildefato.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Outraspalavras.net,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Geledes.org.br,Opinion journalism left,Specific progressive themes
Cartacampinas.com.br,Viomundo.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Sul21.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Tijolaco.net,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Bemblogado.com.br,Opinion journalism left,Opinion journalism left
Cartacampinas.com.br,Sesisp.org.br,Opinion journalism left,Center
Cartacampinas.com.br,folha.Uol.com.br,Opinion journalism left,Hyper center media
Cartacampinas.com.br,Uol.com.br,Opinion journalism left,Hyper center media
Imirante.com,Globo.com,Center,Hyper center media
Imirante.com,Mpf.mp.br,Center,Center
Meionorte.com,R7.com,Center,Hyper center media
Meionorte.com,Ebc.com.br,Center,Hyper center media
Meionorte.com,Globo.com,Center,Hyper center media
Meionorte.com,Jovempan.com.br,Center,Center
Meionorte.com,Ig.com.br,Center,Hyper center media
Meionorte.com,Infomoney.com.br,Center,Center
Meionorte.com,Correio24Horas.com.br,Center,Center
Meionorte.com,Portalodia.com,Center,Center
Meionorte.com,Uol.com.br,Center,Hyper center media
Observatoriodaimprensa.com.br,veja.Abril.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Cnnbrasil.com.br,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,R7.com,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Sbt.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Istoe.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Abril.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Flipboard.com,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Istoedinheiro.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Correiobraziliense.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Em.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Uai.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Tecmundo.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Jornaldebrasilia.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Folhavitoria.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Correiodopovo.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Ebc.com.br,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Exame.com,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Globo.com,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Camara.leg.br,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Diariodocentrodomundo.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Senado.leg.br,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Techtudo.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Projetocomprova.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Aosfatos.org,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Metropoles.com,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Poder360.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,noticias.Yahoo.com,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Ig.com.br,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Nexojornal.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Ponte.org,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Gazetadopovo.com.br,Specific progressive themes,Opinion journalism right
Observatoriodaimprensa.com.br,Redebrasilatual.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Verdesmares.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Brasil247.com,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Mpf.mp.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Almapreta.com,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Opovo.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Cartacapital.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Revistaforum.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Apublica.org,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Diariodepernambuco.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Tecnoblog.net,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Idec.org.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Gazetaonline.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Otempo.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Brasildefato.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Catracalivre.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Oeco.org.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Campograndenews.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Inpe.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Bemparana.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Pragmatismopolitico.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Outraspalavras.net,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Vozdascomunidades.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Ecodebate.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Folhabv.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Reporterbrasil.org.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Amazoniareal.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Geledes.org.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Generonumero.media,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Marcozero.org,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Nosmulheresdaperiferia.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Periferiaemmovimento.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Oliberal.com,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Emtempo.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Sul21.com.br,Specific progressive themes,Opinion journalism left
Observatoriodaimprensa.com.br,Vladimirherzog.org,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Diarioonline.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Observatoriodamineracao.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Folhadoacre.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Noticiapreta.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,universal.org,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Agora-To.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Aregiao.com.br,Specific progressive themes,Opinion journalism right
Observatoriodaimprensa.com.br,Carajasojornal.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Contilnetnoticias.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Correiodopara.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,D24am.com,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Ecosdanoticia.net.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Folhadoprogresso.com.br,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Jcam.com.br,Specific progressive themes,Opinion journalism right
Observatoriodaimprensa.com.br,Jornalopiniao.net,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Ofolhademinas.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Oimpacto.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Rd1.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Zedudu.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Yahoo.com.br,Specific progressive themes,Center
Observatoriodaimprensa.com.br,Correiodecarajas.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Rondoniadinamica.com,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Cenariomt.com.br,Specific progressive themes,Regional/Local media outlets
Observatoriodaimprensa.com.br,Itsrio.org,Specific progressive themes,Specific progressive themes
Observatoriodaimprensa.com.br,Www.gov.br /.../noticias,Specific progressive themes,Center
Observatoriodaimprensa.com.br,folha.Uol.com.br,Specific progressive themes,Hyper center media
Observatoriodaimprensa.com.br,Uol.com.br,Specific progressive themes,Hyper center media
Gazetadigital.com.br,R7.com,Regional/Local media outlets,Hyper center media
Gazetadigital.com.br,Ebc.com.br,Regional/Local media outlets,Hyper center media
Ecodebate.com.br,Istoe.com.br,Opinion journalism left,Center
